*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=BusBoard
*Date=23:02:02
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
194;;3 mm [THT];44.3234;-19.5201;-90;Bottom;LED18
195;;;149.123;-43.6246;0;Bottom;Copper Fill162
196;;;172.009;-9.36;0;Bottom;Copper Fill199
197;;;32.2961;-45.8344;0;Bottom;Copper Fill160
198;;;144.043;-38.57;0;Bottom;Copper Fill5
199;;;249.448;-15.7802;0;Bottom;TXT5
200;;;297.675;-42.8626;0;Bottom;Copper Fill212
201;;;36.5019;-34.6465;-90;Bottom;TXT9
202;;;169.469;-38.57;0;Bottom;Copper Fill22
203;;;27.2161;-18.8342;0;Bottom;Copper Fill243
204;;;11.9761;-18.8342;0;Bottom;Copper Fill244
205;;;166.929;-38.57;0;Bottom;Copper Fill21
206;;;3.10435;-3.0101;0;Bottom;Hole2
207;;;166.929;-38.57;0;Bottom;Copper Fill181
208;;;136.385;-18.8342;0;Bottom;Copper Fill229
209;;;161.854;-47.46;0;Bottom;Hole10
210;;;170.786;-15.7802;0;Bottom;TXT5
211;;;151.689;-38.57;0;Bottom;Copper Fill175
212;;;261.264;-8.1535;0;Bottom;Copper Fill81
213;;;231.986;-3.49901;0;Bottom;TXT6
214;;;222.91;-10.5284;0;Bottom;Copper Fill63
215;;;123.825;-9.36;0;Bottom;Copper Fill37
216;;;161.849;-38.57;0;Bottom;Copper Fill179
217;;;164.389;-38.57;0;Bottom;Copper Fill20
218;;;278.625;-18.8342;0;Bottom;Copper Fill215
219;;;146.558;-42.9896;0;Bottom;Copper Fill165
220;;;217.805;-9.36;0;Bottom;Copper Fill43
221;;;105.905;-20.3328;0;Bottom;Copper Fill133
222;;;60.2488;-9.36;0;Bottom;Copper Fill192
223;;;136.385;-18.8342;0;Bottom;Copper Fill127
224;;;248.145;-18.8342;0;Bottom;Copper Fill93
225;;;141.529;-38.57;0;Bottom;Copper Fill171
226;;;311.709;-9.36;0;Bottom;Copper Fill208
227;;;154.229;-38.57;0;Bottom;Copper Fill16
228;;;179.629;-38.57;0;Bottom;Copper Fill186
229;;;182.169;-38.57;0;Bottom;Copper Fill187
230;;;121.145;-18.8342;0;Bottom;Copper Fill231
231;;;149.149;-38.57;0;Bottom;Copper Fill14
232;;;138.989;-38.57;0;Bottom;Copper Fill170
233;;;6.23582;-44.4406;0;Bottom;TXT7
234;;;214.376;-19.5835;0;Bottom;Copper Fill108
235;;;169.405;-20.3328;0;Bottom;Copper Fill224
236;;;239.42;-10.5284;0;Bottom;Copper Fill64
237;;;295.137;-15.7802;0;Bottom;TXT5
238;;;177.089;-38.57;0;Bottom;Copper Fill185
239;;3 mm [THT];74.8034;-19.5201;-90;Bottom;LED16
240;;;205.634;-34.6684;0;Bottom;TXT10
241;;;29.845;-9.36;0;Bottom;Copper Fill31
242;;;199.517;-34.8235;0;Bottom;Copper Fill97
243;;3362u-2;295.204;-43.7516;0;Bottom;R2
244;;;55.5498;-8.1535;0;Bottom;Copper Fill140
